,OC,MF_OC,EC,MF_EC,ABS_ERROR_EC,ABS_ERROR_OC
23385,0.83,0.83,0.22,0.30110000000000003,0.08110000000000003,0.0
23421,1.28,1.28,0.27,0.33940000000000003,0.06940000000000002,0.0
23441,0.31,0.31,0.39,0.3258999999999999,0.0641000000000001,0.0
23465,0.82,0.82,0.36,0.2841,0.07589999999999997,0.0
23467,0.5,0.5,0.17,0.20629999999999998,0.03629999999999997,0.0
23511,2.51,2.51,0.95,0.7885,0.16149999999999998,0.0
23534,0.89,1.3480999999999994,0.25,0.34459999999999996,0.09459999999999996,0.4580999999999994
23544,1.2,1.2,0.31,0.301,0.009000000000000008,0.0
23604,0.57,0.57,0.19,0.21120000000000008,0.02120000000000008,0.0
23611,0.37,0.37,0.19,0.25190000000000007,0.061900000000000066,0.0
23697,1.38,1.38,0.71,0.44649999999999984,0.2635000000000001,0.0
23703,0.74,0.74,0.48,0.3113,0.16869999999999996,0.0
23744,3.25,3.25,1.31,1.1444999999999999,0.1655000000000002,0.0
23925,1.19,1.19,0.39,0.3114000000000002,0.07859999999999984,0.0
23942,0.98,0.98,0.15,0.21100000000000022,0.06100000000000022,0.0
24107,0.68,0.68,0.32,0.2890999999999999,0.030900000000000094,0.0
24169,2.24,2.24,0.54,0.5781000000000001,0.03810000000000002,0.0
24183,1.07,1.07,0.23,0.25760000000000005,0.02760000000000004,0.0
24224,0.03,0.03,0.04,0.058799999999999984,0.018799999999999983,0.0
24237,0.92,0.92,0.42,0.48430000000000023,0.06430000000000025,0.0
24269,0.86,0.86,0.72,0.23700000000000013,0.4829999999999999,0.0
24290,1.18,1.18,0.24,0.36169999999999985,0.12169999999999986,0.0
24302,1.77,1.77,0.56,0.5996000000000002,0.03960000000000019,0.0
24435,2.79,2.79,0.73,0.7285999999999998,0.0014000000000001789,0.0
24467,3.49,3.49,1.49,1.0443,0.4457,0.0
24472,3.04,3.04,0.88,0.8841999999999994,0.004199999999999426,0.0
24502,1.63,1.63,0.4,0.5083000000000001,0.10830000000000006,0.0
24727,0.99,0.99,0.22,0.2526,0.03259999999999999,0.0
24736,0.7,0.7,0.1,0.18359999999999996,0.08359999999999995,0.0
24752,0.9,0.9,0.22,0.35259999999999997,0.13259999999999997,0.0
24772,0.93,0.93,0.2,0.2576999999999999,0.05769999999999986,0.0
24839,3.05,3.05,0.8,0.7744000000000001,0.025599999999999956,0.0
24852,3.54,3.54,0.87,0.9919999999999999,0.12199999999999989,0.0
24880,3.92,3.92,1.15,1.2098999999999995,0.05989999999999962,0.0
24889,5.18,5.18,1.19,1.3468999999999993,0.15689999999999937,0.0
24898,7.02,7.02,2.19,2.2570999999999994,0.0670999999999995,0.0
24911,6.46,6.46,1.58,1.718600000000001,0.13860000000000094,0.0
24962,6.38,6.38,1.96,1.9941,0.03410000000000002,0.0
24975,11.71,11.71,3.83,3.8824999999999985,0.05249999999999844,0.0
